FILE_VERSION	2.0.0
NO_OF_FRAMES	7500
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-04, 16:06:49.483	137773.03318230
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
28.192	13.577	236.219
26.010	13.318	236.286
24.285	13.441	236.196
22.182	13.158	236.195
20.114	12.979	236.242
18.317	13.126	236.234
16.200	12.908	236.266
14.247	12.794	236.260
12.244	12.783	236.286
10.319	12.657	236.378
8.251	12.429	236.335
6.111	12.265	236.422
4.329	12.345	236.482
2.385	12.179	236.539
0.249	12.032	236.603
-1.815	11.819	236.686
-3.564	11.872	236.718
-5.579	11.754	236.843
-7.585	11.648	236.872
-9.574	11.449	237.029
-11.641	11.234	237.136
-13.441	11.336	237.152
-15.448	11.162	237.274
-17.495	11.004	237.409
-19.360	10.952	237.527
-21.342	10.797	237.688
-23.384	10.608	237.770
-25.179	10.716	237.912
-27.149	10.541	238.042
-29.132	10.401	238.241
-31.066	10.311	238.342
-33.039	10.148	238.472
-35.010	10.028	238.686
-36.921	9.916	238.855
-38.838	9.839	239.071
-40.772	9.690	239.219
-42.770	9.540	239.410
-44.667	9.435	239.604
-46.593	9.293	239.830
-48.490	9.185	239.964
-50.457	9.113	240.200
-52.320	8.986	240.400
-54.235	8.918	240.635
-56.087	8.805	240.855
-57.990	8.719	241.082
-59.875	8.529	241.301
-61.768	8.445	241.566
-63.626	8.358	241.778
-65.457	8.251	242.031
-67.330	8.172	242.270
-69.144	8.069	242.532
-70.991	8.025	242.795
-72.823	7.909	243.046
-74.651	7.870	243.303
-76.415	7.787	243.537
-78.249	7.730	243.825
-80.026	7.583	244.081
-81.825	7.551	244.396
-83.594	7.469	244.618
-85.667	7.085	244.968
-87.425	6.988	245.202
-89.214	6.887	245.556
-90.866	6.866	245.796
-92.547	6.848	246.096
-94.300	6.692	246.395
-96.023	6.661	246.685
-97.778	6.562	246.951
-99.740	6.241	247.235
-101.394	6.163	247.572
-103.021	6.139	247.821
-104.723	6.020	248.154
-106.451	5.992	248.417
-108.081	5.834	248.771
-109.845	5.705	249.037
-111.529	5.540	249.443
-113.196	5.476	249.730
-114.752	5.431	250.057
-116.303	5.441	250.340
-117.974	5.307	250.648
-119.652	5.150	251.023
-121.274	5.048	251.367
-122.776	5.015	251.748
-124.340	5.017	252.000
-126.022	4.818	252.407
-127.648	4.687	252.735
-129.092	4.657	253.096
-130.670	4.575	253.448
-132.225	4.493	253.760
-133.795	4.393	254.168
-135.183	4.402	254.486
-136.792	4.244	254.871
-138.162	4.233	255.209
-139.780	4.055	255.594
-141.286	3.992	255.949
-142.656	3.938	256.335
-144.157	3.787	256.702
-145.661	3.723	257.027
-147.060	3.632	257.454
-148.556	3.579	257.794
-149.972	3.423	258.159
-151.336	3.444	258.529
-152.815	3.280	258.978
-154.142	3.262	259.252
-155.532	3.158	259.711
-156.845	3.125	260.022
-158.240	3.082	260.361
-159.591	2.945	260.792
-160.960	2.884	261.122
-162.253	2.728	261.556
-163.548	2.727	261.825
-164.784	2.626	262.256
-166.197	2.490	262.599
-167.380	2.420	262.982
-168.666	2.373	263.277
-169.946	2.226	263.726
-171.159	2.249	264.013
-172.386	2.122	264.403
-173.659	2.083	264.763
-174.766	2.014	265.123
-175.968	2.011	265.439
-177.180	1.820	265.833
-178.327	1.874	266.149
-179.453	1.766	266.497
-180.649	1.647	266.809
-181.766	1.600	267.172
-182.848	1.621	267.467
-184.013	1.460	267.863
-185.095	1.407	268.181
-186.095	1.379	268.503
-187.315	1.256	268.844
-188.280	1.222	269.236
-189.313	1.200	269.482
-190.382	1.055	269.874
-191.339	1.093	270.160
-192.344	0.995	270.542
-193.370	0.937	270.811
-194.280	0.922	271.161
-195.219	0.823	271.573
-196.181	0.820	271.798
-197.101	0.762	272.184
-198.048	0.721	272.435
-198.964	0.659	272.787
-199.870	0.637	273.073
-200.726	0.562	273.375
-201.615	0.487	273.730
-202.458	0.438	273.961
-203.305	0.418	274.317
-204.166	0.384	274.520
-204.973	0.277	274.837
-205.719	0.275	275.204
-206.476	0.299	275.366
-207.321	0.176	275.736
-208.030	0.149	276.012
-208.718	0.196	276.177
-209.543	0.058	276.523
-210.201	0.027	276.796
-210.868	0.038	276.943
-211.527	0.022	277.235
-212.231	-0.087	277.504
-212.862	-0.027	277.667
-213.477	-0.072	277.954
-214.109	-0.105	278.185
-214.781	-0.152	278.346
-215.347	-0.157	278.586
-215.892	-0.164	278.828
-216.490	-0.149	278.931
-217.115	-0.283	279.245
-217.627	-0.277	279.454
-218.131	-0.286	279.665
-218.671	-0.290	279.795
-219.228	-0.366	280.032
-219.709	-0.373	280.244
-220.160	-0.407	280.438
-220.621	-0.382	280.545
-221.092	-0.416	280.733
-221.561	-0.470	280.967
-221.985	-0.521	281.127
-222.341	-0.545	281.314
-222.772	-0.515	281.363
-223.151	-0.508	281.526
-223.535	-0.593	281.713
-223.894	-0.568	281.859
-224.206	-0.575	281.994
-224.566	-0.545	282.093
-224.903	-0.591	282.220
-225.200	-0.607	282.367
-225.493	-0.653	282.513
-225.828	-0.662	282.616
-226.048	-0.683	282.747
-226.326	-0.719	282.877
-226.536	-0.728	282.999
-226.766	-0.660	282.977
-226.947	-0.665	283.066
-227.098	-0.664	283.145
-227.269	-0.679	283.227
-227.418	-0.694	283.320
-227.587	-0.676	283.358
-227.727	-0.649	283.403
-227.837	-0.719	283.452
-227.966	-0.720	283.534
-228.031	-0.719	283.583
-228.106	-0.710	283.586
-228.154	-0.696	283.606
-228.226	-0.617	283.503
-228.247	-0.701	283.635
-228.270	-0.652	283.489
-228.265	-0.630	283.510
-228.278	-0.624	283.492
-228.221	-0.643	283.623
-228.201	-0.596	283.453
-228.141	-0.667	283.593
-228.076	-0.630	283.545
-227.981	-0.623	283.485
-227.909	-0.584	283.429
-227.775	-0.578	283.391
-227.646	-0.527	283.352
-227.529	-0.520	283.301
-227.392	-0.551	283.232
-227.239	-0.514	283.161
-227.088	-0.534	283.102
-226.897	-0.476	282.996
-226.706	-0.464	282.889
-226.515	-0.416	282.777
-226.265	-0.472	282.850
-226.009	-0.425	282.689
-225.743	-0.383	282.604
-225.431	-0.356	282.468
-225.159	-0.329	282.348
-224.813	-0.273	282.218
-224.545	-0.228	282.031
-224.196	-0.256	282.009
-223.865	-0.200	281.835
-223.482	-0.152	281.710
-223.084	-0.142	281.542
-222.726	-0.132	281.399
-222.327	-0.118	281.364
-221.919	-0.099	281.120
-221.439	0.013	280.941
-221.023	0.034	280.752
-220.584	0.095	280.542
-220.070	0.081	280.467
-219.580	0.171	280.259
-219.063	0.188	280.003
-218.562	0.247	279.793
-218.027	0.285	279.658
-217.457	0.387	279.400
-216.919	0.439	279.171
-216.379	0.439	278.880
-215.735	0.466	278.807
-215.128	0.541	278.544
-214.494	0.591	278.285
-213.913	0.575	278.128
-213.278	0.623	277.877
-212.573	0.736	277.544
-211.941	0.694	277.412
-211.298	0.801	277.147
-210.541	0.933	276.816
-209.877	0.873	276.681
-209.193	0.906	276.416
-208.456	0.967	276.084
-207.661	1.091	275.875
-206.946	1.133	275.612
-206.211	1.136	275.276
-205.349	1.263	275.069
-204.603	1.295	274.752
-203.830	1.255	274.555
-202.920	1.417	274.206
-202.142	1.493	273.887
-201.264	1.474	273.665
-200.367	1.641	273.304
-199.509	1.635	273.109
-198.652	1.726	272.760
-197.798	1.769	272.388
-196.766	1.869	272.161
-195.859	1.947	271.765
-194.966	1.927	271.574
-194.008	2.078	271.162
-193.020	2.083	270.904
-192.095	2.111	270.545
-191.074	2.284	270.168
-190.116	2.239	269.896
-189.165	2.297	269.534
-188.010	2.433	269.212
-187.024	2.478	268.859
-185.986	2.461	268.550
-184.834	2.679	268.179
-183.750	2.712	267.872
-182.708	2.768	267.463
-181.514	2.884	267.135
-180.472	2.894	266.810
-179.343	2.974	266.472
-178.172	3.055	266.108
-177.050	3.157	265.777
-175.831	3.268	265.378
-174.649	3.376	265.047
-173.522	3.356	264.729
-172.354	3.405	264.362
-171.065	3.537	263.956
-169.881	3.595	263.659
-168.666	3.620	263.258
-167.371	3.773	262.916
-166.111	3.844	262.500
-164.903	3.871	262.249
-163.561	4.025	261.787
-162.290	4.096	261.478
-160.960	4.179	261.108
-159.640	4.321	260.741
-158.348	4.322	260.448
-157.006	4.471	260.016
-155.634	4.533	259.722
-154.324	4.590	259.299
-152.944	4.693	258.985
-151.664	4.680	258.596
-150.183	4.843	258.260
-148.832	4.889	257.847
-147.389	5.002	257.507
-145.886	5.131	257.145
-144.533	5.212	256.811
-143.105	5.251	256.404
-141.643	5.399	256.107
-140.135	5.470	255.751
-138.690	5.532	255.388
-137.165	5.678	255.018
-135.726	5.721	254.649
-134.225	5.794	254.315
-132.659	5.916	253.943
-131.169	5.986	253.609
-129.705	6.021	253.212
-128.084	6.193	252.902
-126.440	6.344	252.578
-124.972	6.382	252.208
-123.481	6.381	251.927
-121.734	6.629	251.465
-120.121	6.763	251.193
-118.593	6.791	250.816
-117.052	6.774	250.556
-115.434	6.904	250.175
-113.785	7.004	249.812
-112.132	7.194	249.469
