FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 17:26:47.237	228970.38260560
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-103.300	3.824	238.000
-105.670	3.958	238.346
-108.045	3.943	238.696
-110.454	4.078	239.062
-112.799	4.141	239.431
-115.205	3.994	239.756
-117.520	4.316	240.213
-119.834	4.189	240.591
-122.223	4.366	240.972
-124.505	4.426	241.396
-126.911	4.383	241.790
-129.210	4.444	242.195
-131.433	4.557	242.669
-133.745	4.732	243.108
-135.980	4.807	243.543
-138.208	4.978	244.021
-140.511	4.889	244.462
-142.802	4.884	244.904
-145.028	5.046	245.381
-147.262	5.065	245.851
-149.430	5.169	246.347
-151.657	5.340	246.827
-153.836	5.433	247.313
-156.020	5.386	247.806
-158.240	5.555	248.296
-160.439	5.491	248.775
-162.524	5.684	249.267
-164.667	5.944	249.768
-166.758	6.001	250.301
-168.911	6.014	250.822
-171.034	6.174	251.299
-173.173	6.123	251.833
-175.237	6.219	252.395
-177.321	6.338	252.906
-179.365	6.381	253.454
-181.374	6.444	254.020
-183.356	6.619	254.544
-185.384	6.731	255.098
-187.434	6.629	255.630
-189.324	6.866	256.173
-191.390	6.783	256.763
-193.351	6.913	257.326
-195.322	7.025	257.886
-197.155	7.210	258.406
-199.125	7.398	259.026
-200.995	7.469	259.530
-202.906	7.506	260.137
-204.758	7.611	260.679
-206.680	7.591	261.238
-208.547	7.703	261.796
-210.467	7.590	262.381
-212.227	7.801	262.965
-214.075	7.906	263.545
-215.799	8.120	264.115
-217.646	8.082	264.703
-219.371	8.175	265.292
-221.139	8.457	265.873
-222.938	8.374	266.458
-224.699	8.366	267.008
-226.409	8.496	267.613
-228.009	8.639	268.199
-229.786	8.466	268.758
-231.479	8.637	269.329
-233.121	8.755	269.943
-234.732	8.840	270.512
-236.416	9.078	271.115
-237.944	9.289	271.698
-239.645	9.104	272.267
-241.199	9.367	272.865
-242.840	9.338	273.429
-244.318	9.458	274.026
-245.867	9.394	274.568
-247.386	9.630	275.159
-248.928	9.602	275.720
-250.391	9.662	276.313
-251.904	9.642	276.864
-253.361	9.878	277.462
-254.835	9.904	278.035
-256.277	9.987	278.576
-257.622	10.285	279.204
-259.027	10.303	279.722
-260.439	10.303	280.296
-261.791	10.460	280.863
-263.195	10.461	281.380
-264.468	10.654	282.045
-265.836	10.567	282.498
-267.176	10.721	283.095
-268.475	10.707	283.575
-269.742	10.880	284.118
-271.011	10.940	284.675
-272.222	11.025	285.228
-273.416	11.197	285.704
-274.682	11.092	286.163
-275.867	11.162	286.701
-277.044	11.359	287.210
-278.167	11.448	287.732
-279.314	11.370	288.167
-280.504	11.464	288.662
-281.577	11.657	289.209
-282.678	11.791	289.676
